"Judul","Title_URL","Update","Agen","Jenis_Rumah","Lokasi","KT","KM","Garasi","LT","LB","KPR_bulanan","Harga","Harga_New","Juta"
"MURAAAH SEKALI, RUMAH SIAP HUNI. 2 Lantai , LINGKUNGAN SEJUK, NYAMAN, JATILUHUR, GOMBEL, NGESREP, BANYUMANIK, SEMARANG","https://www.rumah123.com/properti/semarang/hos16550319/","Diperbarui 2 minggu yang lalu oleh","YUSTIN (XEMX)","Rumah","Banyumanik, Semarang","7","4","","259","400","8","2.2","2.2",""
"YANG DICARI, RUMAH ISTIMEWA, SIAP HUNI, SEJUK, VIEW ISTIMEWA, JANGLI, TEMBALANG","https://www.rumah123.com/properti/semarang/hos16550286/","Diperbarui 3 minggu yang lalu oleh","YUSTIN (XEMX)","Rumah","Tembalang, Semarang","5","3","","323","210","14","4","4",""
"Rumah di Graha Taman Pelangi Semarang ( Yl 1735 )","https://www.rumah123.com/properti/semarang/hos7370412/","Diperbarui 4 bulan yang lalu oleh","Yoelan Redland","Rumah","Mijen, Semarang","3","2","","240","220","12","3.3","3.3",""
"(KPR Dp Mulai 5% Saja) New Potala Paramount Village Semarang","https://www.rumah123.com/properti/semarang/hos16387265/","Diperbarui 1 minggu yang lalu oleh","Alexander Handy","Rumah","Semarang Barat, Semarang","4","3","2","96","119","7","1.9","1.9",""
"Jual Rumah di Pleburan","https://www.rumah123.com/properti/semarang/hos16550166/","Diperbarui 3 minggu yang lalu oleh","Lily","Rumah","Semarang Tengah, Semarang","4","5","2","158","135","7","2","2",""
"Rumah 1 Lantai di Mangunharjo Tembalang Semarang","https://www.rumah123.com/properti/semarang/hos16550115/","Diperbarui 1 minggu yang lalu oleh","Joko Widhianto","Rumah","Tembalang, Semarang","2","1","1","72","50","2","615","0.615",""
"Rumah 2 Lantai Terlaris Dekat perkantoran Banyumanik Ungaran Pudak Payung","https://www.rumah123.com/properti/semarang/hos16550110/","Diperbarui 2 minggu yang lalu oleh","Reztu Property","Rumah","Banyumanik, Semarang","3","2","2","66","78","2","605","0.605",""
"Rumah Baru siap huni puri dewi sartika sampangan gn pati semarang kota","https://www.rumah123.com/properti/semarang/hos16550059/","Diperbarui 3 minggu yang lalu oleh","Reztu Property","Rumah","Semarang Tengah, Semarang","2","1","2","122","45","2","650","0.65",""
"Dijual Rumah Kost Pinggir Jalan Mulawarman Undip Tembalang Semarang.","https://www.rumah123.com/properti/semarang/hos14635086/","Diperbarui 1 minggu yang lalu oleh","Mas Abdul","Rumah","Tembalang, Semarang","12","12","4","265","210","12","3.25","3.25",""
"Rumah Bagus Nyaman di Bsb village mijen Semarang","https://www.rumah123.com/properti/semarang/hos16549948/","Diperbarui 2 minggu yang lalu oleh","Joko Widhianto","Rumah","Mijen, Semarang","2","1","2","120","41","2","600","0.6",""
"Rumah 1 lantai di tembalang free biaya2","https://www.rumah123.com/properti/semarang/hos16549899/","Diperbarui 1 minggu yang lalu oleh","Joko Widhianto","Rumah","Tembalang, Semarang","2","1","1","50","36","1","427","0.427",""
"Rumah Di Jalan Pekunden Dalam Semarang","https://www.rumah123.com/properti/semarang/hos16549779/","Diperbarui 3 minggu yang lalu oleh","Lina","Rumah","Semarang Tengah, Semarang","5","2","2","127","150","16","4.5","4.5",""
"Mewah MURAH Rumah Dijual Tembalang Semarang","https://www.rumah123.com/properti/semarang/hos16549645/","Diperbarui 2 minggu yang lalu oleh","RISAN PROPERTY LANCAR","Rumah","Tembalang, Semarang","2","2","2","104","75","2","665","0.665",""
"Rumah Bagus Di Graha Padma Dekat SMA Karangturi","https://www.rumah123.com/properti/semarang/hos16134354/","Diperbarui 2 bulan yang lalu oleh","Swanny","Rumah","Semarang Barat, Semarang","3","2","2","135","135","5","1.6","1.6",""
"Rumah Bagus Di Perumahan Manyaran,Dekat KIC Gatot Subroto","https://www.rumah123.com/properti/semarang/hos16549120/","Diperbarui 2 minggu yang lalu oleh","Swanny","Rumah","Semarang Barat, Semarang","4","1","1","150","150","4","1.2","1.2",""
"Rumah Mewah Murah Nempel Kampus UIN Ngaliyan Semarang Barat","https://www.rumah123.com/properti/semarang/hos16549128/","Diperbarui 3 minggu yang lalu oleh","RISAN PROPERTY LANCAR","Rumah","Ngaliyan, Semarang","11","6","2","337","305","8","2.2","2.2",""
"Rumah Murah di Graha Mukti Residence Pedurungan Semarang","https://www.rumah123.com/properti/semarang/hos16548875/","Diperbarui 2 minggu yang lalu oleh","Mayke","Rumah","Pedurungan, Semarang","2","1","1","74","42","1","475","0.475",""
"Di jual rumah kos semarang timur pedurungan","https://www.rumah123.com/properti/semarang/hos16548944/","Diperbarui 3 minggu yang lalu oleh","Sheila","Rumah","Pedurungan, Semarang","7","3","","200","250","4","1.2","1.2",""
"Dijual rumah kos pedurungan kidul 2lantai SHM","https://www.rumah123.com/properti/semarang/hos16548914/","Diperbarui 3 minggu yang lalu oleh","Sheila","Rumah","Pedurungan, Semarang","26","4","","200","360","4","1.1","1.1",""
"Rumah Semarang Gunungpati 5 Menit Ke Kampus UNNES Full Furnished","https://www.rumah123.com/properti/semarang/hos16548880/","Diperbarui 3 minggu yang lalu oleh","Aji Setiawan","Rumah","Gunung Pati, Semarang","2","1","2","120","60","2","690","0.69",""
"Rumah cantik lokasi strategis belakang hotel horison pedurungan semarang","https://www.rumah123.com/properti/semarang/hos16548362/","Diperbarui 3 minggu yang lalu oleh","Khabib saiful amri","Rumah","Pedurungan, Semarang","2","1","1","82","50","1","499","0.499",""
"Rumah Siap Pakai Di Graha Mukti Residence Pedurungan Semarang","https://www.rumah123.com/properti/semarang/hos16548491/","Diperbarui 2 minggu yang lalu oleh","Mayke","Rumah","Pedurungan, Semarang","2","1","1","110","52","1","525","0.525",""
"Rumah Dekat AKPOL, Graha Candi Golf Jangli Tembalang","https://www.rumah123.com/properti/semarang/hos16548113/","Diperbarui 3 minggu yang lalu oleh","Alexander Handy","Rumah","Gajah Mungkur, Semarang","4","4","1","166","145","16","4.5","4.5",""
"Rumah Dekat AKPOL, Graha Candi Golf Jangli Tembalang","https://www.rumah123.com/properti/semarang/hos16548088/","Diperbarui 3 minggu yang lalu oleh","Alexander Handy","Rumah","Semarang Selatan, Semarang","4","4","1","166","145","16","4.5","4.5",""
"RUMAH MURAH CILIWUNG FULL FURNISHED SEMARANG TIMUR","https://www.rumah123.com/properti/semarang/hos16548055/","Diperbarui 3 minggu yang lalu oleh","Risfil Alifni","Rumah","Semarang Timur, Semarang","3","2","1","184","184","4","1.3","1.3",""
"Dijual Rumah di Manunggal Jati Pedurungan Semarang","https://www.rumah123.com/properti/semarang/hos16543772/","Diperbarui 3 minggu yang lalu oleh","siti nur kolimah","Rumah","Pedurungan, Semarang","3","2","","135","135","3","850","0.85",""
"Dijual Rumah Minimalis Modern di Greenstone Citragrand Tembalang 11.763 nic","https://www.rumah123.com/properti/semarang/hos16543673/","Diperbarui 3 minggu yang lalu oleh","Ivan Chandra","Rumah","Tembalang, Semarang","3","2","","162","138","9","2.5","2.5",""
"Rumah Bagus Mewah Tengah Kota Siap Huni Dijual di Graha Padma Boulevard ,semarang Barat 11.762 any","https://www.rumah123.com/properti/semarang/hos16543643/","Diperbarui 3 minggu yang lalu oleh","Ivan Chandra","Rumah","Semarang Timur, Semarang","4","3","","360","210","15","4.2","4.2",""
"Jual Rumah Murah Plus Furnished di Penjaringan Semarang Timur","https://www.rumah123.com/properti/semarang/hos16543489/","Diperbarui 2 minggu yang lalu oleh","siti nur kolimah","Rumah","Semarang Timur, Semarang","5","5","","313","313","2","650","0.65",""
"Rumah Full Bangunan Lokasi Semara Barat Harga Masih Bisa Nego","https://www.rumah123.com/properti/semarang/hos16543275/","Diperbarui 3 minggu yang lalu oleh","Xavier Marks Semarang Kota","Rumah","Semarang Barat, Semarang","3","1","","150","150","2","650","0.65",""
"Rumah Dijual Rumah Cantik Minimalis di Rivera, Candi Golf, Semarang 11.734 mrt","https://www.rumah123.com/properti/semarang/hos16543216/","Diperbarui 3 minggu yang lalu oleh","Ivan Chandra","Rumah","Candisari, Semarang","5","4","","160","180","14","4","4",""
"Rumah Tengah Kota Siap Huni Dijual di Mawar Greenwood Manyaran Gunungpati Semarang Barat 11.733 mrt","https://www.rumah123.com/properti/semarang/hos16543164/","Diperbarui 3 minggu yang lalu oleh","Ivan Chandra","Rumah","Semarang Barat, Semarang","7","5","","575","350","10","2.9","2.9",""
"Rumah baru bagus bersih depan taman","https://www.rumah123.com/properti/semarang/hos16542912/","Diperbarui 3 minggu yang lalu oleh","Sisca","Rumah","Semarang Timur, Semarang","2","1","4","88","53","1","530","0.53",""
"Jual Rumah Siap Huni, Cantik Dan Nyaman Bsb City Semarang 8717","https://www.rumah123.com/properti/semarang/hos16542407/","Diperbarui 3 minggu yang lalu oleh","Mey Lan","Rumah","Semarang Barat, Semarang","2","1","2","120","46","5","1.35","1.35",""
"Jual Rumah Cocok Usaha Kantor Jalan Puri Anjasmoro Semarang 8725","https://www.rumah123.com/properti/semarang/hos16542333/","Diperbarui 3 minggu yang lalu oleh","Mey Lan","Rumah","Semarang Barat, Semarang","4","3","1","308","250","8","2.25","2.25",""
"Disewakan Rumah Kost Tengah Kota Halmahera, Semarang Timur 11.720 ivn","https://www.rumah123.com/properti/semarang/hos16541368/","Diperbarui 3 minggu yang lalu oleh","Ivan Chandra","Rumah","Semarang Timur, Semarang","8","5","","400","600","1","380","0.38",""
"Rumah siap huni baru Ngaliyan dekat BSB kota Semarang","https://www.rumah123.com/properti/semarang/hos16539810/","Diperbarui 3 minggu yang lalu oleh","Yusi  ardiyani","Rumah","Ngaliyan, Semarang","2","1","1","120","50","2","595","0.595",""
"Rumah cluster mewah pudak payung banyumanik semarang","https://www.rumah123.com/properti/semarang/hos16539832/","Diperbarui 3 minggu yang lalu oleh","Setiawan 99","Rumah","Semarang Selatan, Semarang","3","2","2","72","44","1","460","0.46",""
"Rumah ketileng semarang timur","https://www.rumah123.com/properti/semarang/hos16539804/","Diperbarui 2 minggu yang lalu oleh","Joko Widhianto","Rumah","Semarang Timur, Semarang","2","1","1","65","65","1","430","0.43",""
"Rumah mezzanine bagus di candi prambanan semarang barat","https://www.rumah123.com/properti/semarang/hos16539395/","Diperbarui 3 hari yang lalu oleh","Joko Widhianto","Rumah","Semarang Barat, Semarang","2","1","2","125","80","3","1","1",""
"Rumah Mewah 2 Lantai De Villa Garden Banyumanik Tembalang","https://www.rumah123.com/properti/semarang/hos16539317/","Diperbarui 3 minggu yang lalu oleh","Setiawan 99","Rumah","Semarang Selatan, Semarang","3","2","2","72","72","2","570","0.57",""
"Rumah 2 Lantai dekat dengan Bandara, Semarang Indah","https://www.rumah123.com/properti/semarang/hos16539038/","Diperbarui 3 minggu yang lalu oleh","susan oen","Rumah","Semarang Barat, Semarang","5","4","1","121","242","4","1.2","1.2",""
"Rumah Bagus Dan SHM Siap Huni 2 Lantai di Jual Letak Strategis Gajahmungkur,di Kota Semarang","https://www.rumah123.com/properti/semarang/hos16539039/","Diperbarui 3 minggu yang lalu oleh","Elfa Rachmania Savitri","Rumah","Gajah Mungkur, Semarang","3","2","1","127","240","16","4.5","4.5",""
"Rumah Cantik Siap Huni Cluster Citragrand Boulevard, Tembalang 11.488 nic","https://www.rumah123.com/properti/semarang/hos16539021/","Diperbarui 3 minggu yang lalu oleh","NANA - LJHooker Semarang","Rumah","Tembalang, Semarang","7","7","","180","290","14","3.8","3.8",""
"Rumah Nyaman di Gunungpati Semarang","https://www.rumah123.com/properti/semarang/hos16538974/","Diperbarui 3 minggu yang lalu oleh","Sari Hangganingrum","Rumah","Gunung Pati, Semarang","7","5","2","575","350","10","2.9","2.9",""
"Rumah 2 Lantai Di Bukit Wahid Manyaran Semarang SHM","https://www.rumah123.com/properti/semarang/hos16126315/","Diperbarui 2 bulan yang lalu oleh","ALBA GROUP","Rumah","Semarang Barat, Semarang","5","3","3","315","200","16","4.5","4.5",""
"Rumah Nyaman di Gunungpati Semarang","https://www.rumah123.com/properti/semarang/hos16538938/","Diperbarui 3 minggu yang lalu oleh","Audrey Nataniel","Rumah","Gunung Pati, Semarang","7","5","","575","350","10","2.9","2.9",""
